ST_NO,"FACILITY_DESCP","TYPE","TOILET_INSIDE","FACILITY_DESCP_EN"			
0739,"2号线:付费区  往广兰路方向车头,7号线:非付费区  近9号出入口","1","0","Line 2:Pay Zone  Guanglan Rd direction to the front of the platform,Line 7:Non-paying zone  Near Exit 9"			
0740,"1号线:付费区  往莘庄方向站台车头,7号线:非付费区  6号出入口旁","1","0","Line 1:Pay Zone  Xinzhuang direction to the front of the platform,Line 7:Non-paying zone  Exit 6 entrance side"			
0740,"7号线:直升梯  地面-站厅  7号出入口旁,7号线:直升梯  站厅-站台  站厅站台中部","3","","Line 7:Helicopter ladder  The station hall to the platform  The station hall central platform"			
0740,"1号口:常熟路 淮海中路 华亭路,2号口:淮海中路,3号口:淮海中路 华亭路,4号口:淮海中路 宝庆路,6号口:常熟路,7号口:常熟路 淮海中路 ,8号口:常熟路 五原路 ","2","","Exit 1:Changshu Rd Middle Huaihai Rd Huating Rd,Exit 2:Middle Huaihai Rd.,Exit 3:Middle Huaihai Rd Huating Rd,Exit 4:Middle Huaihai Rd Baoqing Rd.Exit 6:Changshu Rd,Exit 7:Changshu Rd Middle Huaihai Rd,Exit 8:Changshu Rd Wuyuan Rd "			
0741,"2号口:东安路 肇嘉浜路,3号口:医学院路 东安路,4号口:东安路 肇嘉浜路","2","","Exit 2:Dong'an Rd Zhaojiabang Rd,Exit 3:Yixueyuan Rd Dong'an Rd,Exit 4:Dong'an Rd Zhaojiabang Rd"			
0741,"1号无障碍电梯 4号口客服中心旁,2号无障碍电梯 靠近4号口,3号无障碍电梯 3号客服中心旁","3","","Accessible Lift 1:beside Customer Service Center of Exit 4,Accessible Lift 2:near Exit 4,Accessible Lift 3: beside Customer Service Center of Exit 3"			
0741,"7号线:非付费区  4号出入口旁,9号线:付费区  往松江新城方向车头","1","0","Line 7:Non-paying zone  Exit 4 entrance side,Line 9:Pay Zone  Songjiang Xincheng direction to the front of the platform"			
0742,"4号线:付费区  内圈车头,7号线:非付费区  近4号出入口","1","1","Line 4:Pay Zone  Inner front,Line 7:Non-paying zone  Near Exit 4"			
0742,"1号口:东安路 零陵路 儿科医院 中山医院,2号口:东安路 龙华医院 市精神卫生中心,3号口:东安路 肿瘤医院,4号口:东安路,5号口:东安路,6号口:东安路 零陵路","2","","Exit 1:Dong'an Rd Lingling Rd Children Health Department of Children's Hospital Affiliated to Fudan University Zhongshan Hospital Affiliated to Fudan University,Exit 2:Dong'an Rd Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine Shanghai Mental Health Center,Exit 3:Dong'an Rd Tumor Hospital,Exit 4:Dong'an Rd,Exit 5:Dong'an Rd,Exit 6:Dong'an Rd Lingling Rd"			
0742,"7号线:直升梯  地面-站厅  无,7号线:直升梯  站厅-站台  站厅站台中部","3","","Line 7:Helicopter ladder  The ground station hall  None,Line 7:Helicopter ladder  The station hall to the platform  The station hall central platform"			
0743,"7号线:非付费区  近14号出入口","1","0","Line 7:Non-paying zone  Near Exit 14"			
0743,"6号口:龙华中路 东安路,14号口:中山南二路 龙华路 东安路","2","","Exit 6:Middle Longhua Rd Dong'an Rd,Exit 14:South Zhongshan 2nd Rd Longhua Rd Dong'an Rd"			
0743,"1号无障碍电梯 站厅至站台(站台中央),2号无障碍电梯 靠近14号口站厅至站外","3","","Accessible Lift 1:station hall to the center of platform,Accessible Lift 2:1station hall near Exit 14 to outside"			
0744,"1号口:耀龙路,4号口:耀元路","2","","Exit 1:Yaolong Rd,Exit 4:Yaoyuan Rd"			
0744,"1号无障碍电梯 站厅至站外,2号无障碍电梯 站厅至地面","3","","Accessible Lift 1:station hall to outside,Accessible Lift 2:station hall to ground"			
0744,"7号线:非付费区  近客服中心","1","0","Line 7:Non-paying zone  Near call center"			
0745,"7号线:非付费区  近1号出入口","1","0","Line 7:Non-paying zone  Near Exit 1"			
0745,"1号口:长清路 耀华路,2号口:长清路 耀华路,3号口:耀华路,4号口:耀华路","2","","Exit 1:Changqing Rd Yaohua Rd,Exit 2:Changqing Rd Yaohua Rd,Exit 3:Yaohua Rd,Exit 4:Yaohua Rd"			
0745,"1号无障碍电梯 站厅至站外,2号无障碍电梯 靠近1号口站厅至地面","3","","Accessible Lift 1:station hall to outside,Accessible Lift 2:station hall near Exit 1 to ground"			
0746,"8号线:付费区  站台中部","1","1","Line 8:Pay Zone  The central station"			
0746,"","3","",""			
0746,"1号口:上南路,2号口:上南路,3号口:上南路,4号口:上南路","2","","Exit 1:Shangnan Rd,Exit 2:Shangnan Rd,Exit 3:Shangnan Rd,Exit 4:Shangnan Rd"			
0747,"1号无障碍电梯 站厅至站外,2号无障碍电梯 靠近6号口站厅至地面","3","","Accessible Lift 1:station hall to outside,Accessible Lift 2:station hall near Exit 6 to ground"			
0747,"3号口:云台路,4号口:云台路 浦东南路,5号口:浦东南路,6号口:浦东南路","2","","Exit 3:Yuntai Rd,Exit 4:Yuntai Rd South Pudong Rd,Exit 5:South Pudong Rd,Exit 6:South Pudong Rd"			
0747,"7号线:非付费区  3号出入口旁","1","0","Line 7:Non-paying zone  Exit 3 entrance side"			
0748,"7号线:直升梯  地面-站厅  无,7号线:直升梯  站厅-站台  站厅站台中部","3","","Line 7:Helicopter ladder  The ground station hall  None,Line 7:Helicopter ladder  The station hall to the platform  The station hall central platform"			
0748,"6号线:非付费区  近4号口","1","0","Line 6:Non-paying zone  Near Exit 4"			
0748,"1号口:高科西路 东明路,2号口:东明路,3号口:东明路（未开通）,4号口:高科西路","2","","Exit 1:West Gaoke Rd Dongming Rd,Exit 2:Dongming Rd,Exit 3:Dongming RdUnavailable,Exit 4:West Gaoke Rd "			
0749,"1号无障碍电梯 站台至站厅(站台中央),2号无障碍电梯 站厅至站台(靠近1号口),3号无障碍电梯 站台至站厅(站台中央)","3","","Accessible Lift 1:,Accessible Lift 2:,"			
0749,"1号口:高科西路,2号口:高科西路,3号口:高科西路,4号口:高科西路 杨高南路,5号口:杨高南路","2","","Exit 1:West Gaoke Rd,Exit 2:West Gaoke Rd,Exit 3:West Gaoke Rd,Exit 4:West Gaoke Rd South Yanggao Rd,Exit 5:South Yanggao Rd"			
0749,"7号线:非付费区  3号出入口旁","1","0","Line 7:Non-paying zone  Exit 3 entrance side"			
0750,"1号无障碍电梯 站厅至站外,2号无障碍电梯 靠近2号口","3","","Accessible Lift 1:station hall to outside,Accessible Lift 2:"			
0750,"7号线:非付费区  近2号出入口","1","0","Line 7:Non-paying zone  Near Exit 2"			
0750,"1号口:锦绣路 浦东新区图书馆,2号口:锦绣路,4号口:锦绣路","2","","Exit 1:Jinxiu Rd Pudong Library,Exit 2:Jinxiu Rd,Exit 4:Jinxiu Rd"			
0751,"1号无障碍电梯 站厅至站外(靠近2号口),2号无障碍电梯 站台至展厅（站台中央）","3","","Accessible Lift 1:station hall to outside,Accessible Lift 2:"			
0751,"1号口:芳华路,2号口:芳草路 沪南路,3号口:沪南路,4号口:沪南路","2","","Exit 1:Fanghua Rd,Exit 2:Fangcao Rd Hunan Rd,Exit 3:Hunan Rd,Exit 4:Hunan Rd"			
0751,"7号线:非付费区  近1号出入口","1","0","Line 7:Non-paying zone  Near Exit 1"			
0752,"7号线:直升梯  地面-站厅  6号出入口旁,7号线:直升梯  站厅-站台  站厅站台中部","3","","Line 7:Helicopter ladder  The ground station hall  Exit 6 entrance side,Line 7:Helicopter ladder  The station hall to the platform  The station hall central platform"			
0752,"2号线:付费区  往广兰路方向车头,7号线:非付费区  近6号出入口","1","1,0","Line 2:Pay Zone  Guanglan Rd direction to the front of the platform,Line 7:Non-paying zone  Near Exit 6"			
0752,"1号口:龙阳路 白杨路,2号口:龙阳路 龙汇路,3号口:龙阳路 龙汇路 磁浮龙阳路站,4号口:龙阳路 白杨路 磁浮龙阳路站,5号口:白杨路 龙阳路 磁浮龙阳路站,6号口:龙阳路 龙汇路,7号口:龙阳路 白杨路,8号口:龙阳路,9号口:龙阳路 白杨路","2","","Exit 1:Longyang Rd Baiyang Rd,Exit 2:Longyang Rd Longhui Rd,Exit 3:Longyang Rd Longhui Rd Cifu Longyang Rd Station,Exit 4:Longyang Rd Baiyang Rd Maglev Longyang Rd Station,Exit 5:Baiyang Rd Longyang Rd Cifu Longyang Rd Station,Exit 6:Longyang Rd Longhui Rd,Exit 7:Longyang Rd Baiyang Rd,Exit 8:Longyang Rd,Exit 9:Longyang Rd Baiyang Rd"			
0753,"7号线:非付费区  近5号出入口","1","0","Line 7:Non-paying zone  Near Exit 5"			
0753,"1号口:浦东嘉里中心,2号口:芳甸路,3号口:芳甸路,4号口:梅花路,5号口:芳甸路 花木路","2","","Exit 1:Kerry Hotel Pudong,Exit 2:Fangdian Rd,Exit 3:Fangdian Rd,Exit 4:Meihua Rd,Exit 5:Fangdian Rd Huamu Rd"			
0753,"1号无障碍电梯 站台至站厅(站台中央),2号无障碍电梯 站厅至站外(靠近2号口)","3","","Accessible Lift 1:station hall to the center of platform,Accessible Lift 2:station hall to outside of Exit 2"			
0820,"2号口:浦星公路 沈杜公路 联达路","2","","Exit 2:Puxing Highway Shendu Highway Lianda Rd"			
0820,"8号线:站外  1号出入口外公厕","1","0","Line 8:Outside of a station  1 entrance outside"			
0820,"1号无障碍电梯 站台到站厅,2号无障碍电梯 站台到地面","3","","Accessible Lift 1:platform to station hall,Accessible Lift 2:platform to ground"			
0821,"2号口:浦星公路 联航路","2","","Exit 2:Puxing Highway Lianhang Rd"			
0821,"8号线:站外  1、2号出入口外公厕","1","0","Line 8:Outside of a station  1/2 entrance outside"			
0821,"1号无障碍电梯 站台到站厅,2号无障碍电梯 站台到地面","3","","Accessible Lift 1:platform to station hall,Accessible Lift 2:platform to ground"			
0822,"8号线:站外  1、2号出入口外公厕","1","0","Line 8:Outside of a station  1/2 entrance outside"			
0822,"2号口:浦星公路 江月路","2","","Exit 2:Puxing Highway Jiangyue Rd"			
0822,"1号无障碍电梯 站台到站厅,2号无障碍电梯 站台到地面","3","","Accessible Lift 1:platform to station hall,Accessible Lift 2:platform to ground"			
0823,"8号线:付费区  往沈杜公路方向车头","1","1","Line 8:Pay Zone  Shendu Highway direction to the front of the platform"			
0823,"2号口:浦星公路 陈行公路","2","","Exit 2:Puxing Highway Chenhang Highway"			
0823,"1号无障碍电梯 站台到站厅,2号无障碍电梯 站台到地面","3","","Accessible Lift 1:platform to station hall,Accessible Lift 2:platform to ground"			
0824,"8号线:非付费区  近3号口","1","0","Line 8:Non-paying zone  Near Exit 3"			
0824,"2号口:浦星公路 新华西路,3号口:浦星公路 芦恒路,5号口:浦星公路","2","","Exit 2:Puxing Highway West Xinhua Rd,Exit 3:Puxing Highway Luheng Rd,Exit 5:Puxing Highway"			
0824,"1号无障碍电梯 站台到站厅,2号无障碍电梯 站台到地面","3","","Accessible Lift 1:platform to station hall,Accessible Lift 2:platform to ground"			
0825,"1号口:济阳路,2号口:凌兆路 济阳路","2","","Exit 1:Jiyang Rd,Exit 2:Lingzhao Rd Jiyang Rd"			
0825,"8号线:非付费区  近2号口","1","0","Line 8:Non-paying zone  Near Exit 2"			
0825,"1号无障碍电梯 站台到站厅,2号无障碍电梯 站台到地面","3","","Accessible Lift 1:platform to station hall,Accessible Lift 2:platform to ground"			
0826,"1号口:耀体路,4号口:耀体路,5号口:耀体路,6号口:耀体路","2","","Exit 1:Yaoti Rd,Exit 4:Yaoti Rd,Exit 5:Yaoti Rd,Exit 6:Yaoti Rd"			
0826,"6号线:付费区  往港城路方向车头,8号线:付费区  往市光路方向车头","1","1,1","Line 6:Pay Zone  Gangcheng Rd direction to the front of the platform,Line 8:Pay Zone  Shiguang Rd direction to the front of the platform"			
0826,"8号线:直升梯  地面-站厅  近3、6号口,8号线:直升梯  站厅-站台  往沈杜公路方向车头","3","","Line 8:Helicopter ladder  The ground station hall  Near Exit 3 6,Line 8:Helicopter ladder  The station hall to the platform  Shendu Highway direction to the front of the platform"			
0827,"8号线:非付费区  近1号口","1","0","Line 8:Non-paying zone  Near Exit 1"			
0827,"1号口:杨思路 灵岩南路,2号口:杨思路 ","2","","Exit 1:Yangsi Rd South Linyan Rd,Exit 2:Yangsi Rd "			
0827,"1号无障碍电梯 站台到站厅,2号无障碍电梯 站台到地面","3","","Accessible Lift 1:platform to station hall,Accessible Lift 2:platform to ground"			
0828,"8号线:付费区  往沈杜公路方向车头","1","1","Line 8:Pay Zone  Shendu Highway direction to the front of the platform"			
0828,"1号口:上南路 成山路 ,2号口:上南路 ,3号口:德州路 成山路","2","","Exit 1:Shangnan Rd Chengshan Rd,Exit 2:Shangnan Rd ,Exit 3:Dezhou Rd Chengshan Rd"			
0828,"1号无障碍电梯 站台到站厅,2号无障碍电梯 站台到地面","3","","Accessible Lift 1:platform to station hall,Accessible Lift 2:platform to ground"			
0829,"","3","",""			
0829,"8号线:付费区  站台中部","1","1","Line 8:Pay Zone  The central station"			
0829,"1号口:上南路,2号口:上南路,3号口:上南路,4号口:上南路","2","","Exit 1:Shangnan Rd,Exit 2:Shangnan Rd,Exit 3:Shangnan Rd,Exit 4:Shangnan Rd"			
0830,"1号无障碍电梯 站台到站厅,2号无障碍电梯 站台到地面","3","",""			
0830,"3号口:上南路 博成路,4号口:上南路 世博大道 梅赛德斯-奔驰文化中心 ","2","","Exit 3:Shangnan Rd Bocheng Rd,Exit 4:Shangnan Rd Shibo Avenue Mercedes-Benz Arena"			
0830,"8号线:付费区  往市光路方向车头","1","1","Line 8:Pay Zone  Shiguang Rd direction to the front of the platform"			
0831,"8号线:直升梯  地面-站厅  近2号口,8号线:直升梯  站厅-站台  近2号口","3","","Line 8:Helicopter ladder  The ground station hall  Near Exit 2,Line 8:Helicopter ladder  The station hall to the platform  Near Exit 2"			
0831,"8号线:付费区  往沈杜公路方向车头","1","1","Line 8:Pay Zone  Shendu Highway direction to the front of the platform"			
0831,"1号口:中山南路,2号口:中山南路,3号口:西藏南路,4号口:中山南一路,5号口:西藏南路","2","","Exit 1:South Zhongshan Rd,Exit 2:South Zhongshan Rd,Exit 3:South Xizang Rd,Exit 4:South Zhongshan 1st Rd,Exit 5:South Xizang Rd"			
0832,"8号线:付费区  往市光路方向车头,9号线:非付费区  近7号口","1","1","Line 8:Pay Zone  Shiguang Rd direction to the front of the platform,Line 9:Non-paying zone  Near Exit 7"			
0832,"1号口:西藏南路 大林路 ,3号口:西藏南路 陆家浜路,6号口:陆家浜路,7号口:西藏南路 陆家浜路 ","2","","Exit 1:South Xizang Rd Dalin Rd,Exit 3:South Xizang Rd Lujiabang Rd,Exit 6:Lujiabang Rd,Exit 7:South Xizang Rd Lujiabang Rd "			
0832,"1号无障碍电梯 站台到站厅,2号无障碍电梯 站台到地面","3","","Accessible Lift 1:platform to station hall,Accessible Lift 2:platform to ground"			
0833,"1号无障碍电梯 站厅南端靠近车控室站厅直达站台,2号无障碍电梯 2号口（暂未开通）位置站厅通往站外（西藏南路）,3号无障碍电梯 站厅收费区内中间位置站厅直达站台","3","","Accessible Lift 1:south of station hall near Control Room to platform,Accessible Lift 2:station hall near Exit 2Unavailable to outsideSouth Xizang Road,Accessible Lift 3: center of paid area in station hall to platform"			
0833,"1号口:西藏南路,2号口:西藏南路,3号口:西藏南路,4号口:西藏南路,5号口:西藏南路,6号口:复兴东路,7号口:复兴东路,8号口:西藏南路","2","","Exit 1:South Xizang Rd,Exit 2:South Xizang Rd,Exit 3:South Xizang Rd,Exit 4:South Xizang Rd,Exit 5:South Xizang Rd,Exit 6:East Fuxing Rd,Exit 7:East Fuxing Rd,Exit 8:South Xizang Rd"			
0833,"8号线:付费区  往沈杜公路方向车头,10号线:非付费区  近6号口","1","1,0","Line 8:Pay Zone  Shendu Highway direction to the front of the platform,Line 10:Non-paying zone  Near Exit 6"			
0834,"8号线:付费区  往沈杜公路方向车头","1","1","Line 8:Pay Zone  Shendu Highway direction to the front of the platform"			
0834,"1号无障碍电梯 站台到站厅,2号无障碍电梯 站台到地面","3","","Accessible Lift 1:platform to station hall,Accessible Lift 2:platform to ground"			
0834,"1号口:宁海东路 云南南路,2号口:金陵东路,3号口:金陵中路,4号口:上海音乐厅","2","","Exit 1:East Ninghai Rd South Yunnan Rd,Exit 2:East Jinling Rd,Exit 3:Middle Jinling Rd,Exit 4:Shanghai Concert Hall"			
0835,"8号线:直升梯  地面-站厅  近16号口,8号线:直升梯  站厅-站台  往沈杜公路方向车头","3","","Line 8:Helicopter ladder  The ground station hall  Near Exit 16,Line 8:Helicopter ladder  The station hall to the platform  Shendu Highway direction to the front of the platform"			
0835,"1号口:人民广场,2号口:人民大道,3号口:西藏中路,5号口: 南京西路,6号口:南京西路,7号口:南京西路,8号口:南京西路,9号口:南京西路,10号口:南京西路,11号口:南京西路,12号口:九江路,14号口:汉口路,15号口:福州路,16号口:西藏中路,17号口:人民公园,18号口:人民公园,19号口:南京西路,20号口:西藏中路 九江路","2","","Exit 1:People's Square,Exit 2:Renmin Avenue,Exit 3:Middle Xizang Rd,Exit 5:West Nanjing Rd,Exit 6:West Nanjing Rd,Exit 7:West Nanjing Rd,Exit 8:West Nanjing Rd,Exit 9:West Nanjing Rd,Exit 1:0:West Nanjing Rd,Exit 11:West Nanjing Rd,Exit 12:Jiujiang Rd,Exit 14:Hankou Rd,Exit 15:Fuzhou Rd,Exit 16:Middle Xizang Rd,Exit 17:People's Park,Exit 18:People's Park,Exit 19:West Nanjing Rd,Exit 20:Middle Xizang Rd Jiujiang Rd"			
0835,"1号线:付费区  往莘庄方向站台车头,2号线:付费区  往广兰路方向车尾,8号线:付费区  往沈杜公路方向车头","1","1,1,1","Line 1:Pay Zone  Xinzhuang direction to the front of the platform,Line 2:Pay Zone  Guanglan Rd direction to the rear of the platform,Line 8:Pay Zone  Shendu Highway Rd direction to the front of the platform"			
0836,"""12号线:非付费区:位于车站站厅层 5号出口旁,8号线:付费区  往沈杜公路方向车头""","1","0,1","Line 12:Non Paid Area Station Hall Near Exit 5,Line 8:Pay Zone Shendu Highway direction to the front of the platform"			
0836,"""8号线1号无障碍电梯:直升梯 地面到站厅，位于2号口外 非付费区,8号线2号无障碍电梯:直升梯 站厅到站台，位于2号口旁 非付费区(需人工开启),12号线1号无障碍电梯:直升梯 地面到站厅，位于4号口外 非付费区,12号线2号无障碍电梯:直升梯 站厅到站台，位于4号口旁 非付费区(需人工开启)""","3","","""Line 8 Accessible Lift 1:platform to station hall outside of Exit 2 no-paid area,Line 8 Accessible Lift 2:platform to ground outside of Exit 2 no-paid area (Artificial open),Line 12 Accessible Lift 1:platform to station hall outside of Exit 4 no-paid area,Line 12 Accessible Lift 2:platform to ground outside of Exit 4 no-paid area (Artificial open)"""			
0836,"1号口:开封路 西藏北路,2号口:北苏州路 西藏北路,3号口:曲阜西路,4号口:曲阜西路,5号口:文安路 曲阜路","2","","Exit 1:Kaifeng Rd North Xizang Rd,Exit 2:Beisuzhou Rd North Xizang Rd,Exit 3:West Qufu Rd,Exit 4:West Qufu Rd,Exit 5:Wen'an Rd Qufu Rd"			
0837,"1号口:中兴路,2号口:中兴路,3号口:西藏北路,4号口:中兴路","2","","Exit 1:Zhongxing Rd,Exit 2:Zhongxing Rd,Exit 3:North Xizang Rd,Exit 4:Zhongxing Rd"			
0837,"8号线:付费区  往沈杜公路方向车头","1","1","Line 8:Pay Zone  Shendu Highway direction to the front of the platform"			
0837,"1号无障碍电梯 站台到站厅,2号无障碍电梯 站台到地面","3","","Accessible Lift 1:platform to station hall,Accessible Lift 2:platform to ground"			
0838,"8号线:付费区  往市光路方向车头","1","1","Line 8:Pay Zone  Shiguang Rd direction to the front of the platform"			
0838,"1号无障碍电梯 站台到站厅,2号无障碍电梯 站台到地面","3","","Accessible Lift 1:platform to station hall,Accessible Lift 2:platform to ground"			
0838,"1号口:中山北路,2号口:中山北路,3号口:中山北路,4号口:中山北路 平型关路","2","","Exit 1:North Zhongshan Rd,Exit 2:North Zhongshan Rd,Exit 3:North Zhongshan Rd,Exit 4:North Zhongshan Rd Pingxingguan Rd"			
0839,"3号线:站外  2楼商场内,8号线:付费区  往沈杜公路方向车头","1","0,1","Line 3:Outside of a station  The 2 floor shopping mall,Line 8:Pay Zone  Shendu Highway direction to the front of the platform"			
0839,"1号口:东江湾路 四川北路,2号口:花园路,3号口:花园路","2","","Exit 1:Dongjiangwan Rd North Sichuan Rd,Exit 2:Huayuan Rd,Exit 3:Huayuan Rd"			
0839,"8号线:直升梯  地面-站厅  近2号口,8号线:直升梯  站厅-站台  往沈杜公路方向车头","3","","Line 8:The ground station hall  Near Exit 2,Line 8:Helicopter ladder  The station hall to the platform  Shendu Highway direction to the front of the platform"			
0840,"1号口:玉田路 曲阳路,2号口:大连西路,3号口:大连西路,4号口:曲阳路 大连西路,5号口:曲阳路,6号口:曲阳路 玉田路","2","","Exit 1:Yutian Rd Quyang Rd,Exit 2:West Dalian Rd,Exit 3:West Dalian Rd,Exit 4:Quyang Rd West Dalian Rd,Exit 5:Quyang Rd,Exit 6:Quyang Rd Yutian Rd"			
0840,"8号线:付费区  往沈杜公路方向车头","1","1","Line 8:Pay Zone  Shendu Highway direction to the front of the platform"			
0840,"","3","",""			
0841,"1号口:大连路,2号口:大连路 四平路,3号口:大连路,4号口:四平路","2","","Exit 1:Dalian Rd,Exit 2:Dalian Rd Siping Rd,Exit 3:Dalian Rd,Exit 4:Siping Rd"			
0841,"1号无障碍电梯 8号线站厅层（南侧）至10号线上行,2号无障碍电梯 8号线站厅层（北侧）至10号线上行","3","","Accessible Lift 1:south of station hall of Line 8 to Line 10Up train,Accessible Lift 2:north of station hall of Line 8 to Line 10Up train"			
0841,"10号线:非付费区  B区近2号口,8号线:付费区  往沈杜公路方向车头","1","0","Line 10:Non-paying zone  B area near Exit 2,Line 8:Pay Zone  Shendu Highway direction to the front of the platform"			
0842,"1号口:控江路,2号口:控江路,3号口:控江路,4号口:控江路 打虎山路","2","","Exit 1:Kongjiang Rd,Exit 2:Kongjiang Rd,Exit 3:Kongjiang Rd,Exit 4:Kongjiang Rd Dahushan Rd"			
0842,"8号线:付费区  往沈杜公路方向车头","1","1","Line 8:Pay Zone  Shendu Highway direction to the front of the platform"			
0842,"1号无障碍电梯 站台到站厅,2号无障碍电梯 站台到地面","3","","Accessible Lift 1:platform to station hall ,Accessible Lift 2:platform to ground"			
0843,"8号线:付费区  往沈杜公路方向车头","1","1","Line 8:Pay Zone  Shendu Highway direction to the front of the platform"			
0843,"1号口:控江路 长浜路,2号口:控江路,3号口:控江路","2","","Exit 1:Kongjiang Rd Changbang Rd,Exit 2:Kongjiang Rd,Exit 3:Kongjiang Rd"			
0843,"1号无障碍电梯 站台到站厅,2号无障碍电梯 站台到地面","3","","Accessible Lift 1:platform to station hall ,Accessible Lift 2:platform to ground"			
0844,"8号线:付费区  往市光路方向车头","1","1","Line 8:Pay Zone  Shiguang Rd direction to the front of the platform"			
0844,"1号口:控江路,3号口:控江路,4号口:控江路 靖宇南路","2","","Exit 1:Kongjiang Rd,Exit 3:Kongjiang Rd,Exit 4:Kongjiang Rd South Jingyu Rd"			
0844,"1号无障碍电梯 站台到站厅,2号无障碍电梯 站台到地面","3","","Accessible Lift 1:platform to station hall ,Accessible Lift 2:platform to ground"			
0845,"3号口:营口路,4号口:营口路,5号口:营口路,7号口:营口路","2","","Exit 3:Yingkou Rd,Exit 4:Yingkou Rd,Exit 5:Yingkou Rd,Exit 7:Yingkou Rd"			
0845,"8号线:付费区  往市光路方向车头","1","1","Line 8:Pay Zone  Shiguang Rd direction to the front of the platform"			
0845,"1号无障碍电梯 站台到站厅,2号无障碍电梯 站台到地面","3","","Accessible Lift 1:platform to station hall ,Accessible Lift 2:platform to ground"			
0846,"1号口:营口路,2号口:营口路","2","","Exit 1:Yingkou Rd,Exit 2:Yingkou Rd"			
0846,"8号线:非付费区  近1号口 近2号口","1","0","Line 8:Non-paying zone  Near Exit 1 Near Exit 2"			
0846,"1号无障碍电梯 站台到站厅,2号无障碍电梯 站台到地面","3","","Accessible Lift 1:platform to station hall ,Accessible Lift 2:platform to ground"			
0847,"1号口:中原路,2号口:翔殷路,3号口:营口路,4号口:中原路","2","","Exit 1:Zhongyuan Rd,Exit 2:Xiangyin Rd,Exit 3:Yingkou Rd,Exit 4:Zhongyuan Rd"			
0847,"8号线:付费区  站台中部","1","1","Line 8:Pay Zone  The central station"			
0847,"1号无障碍电梯 航天博物馆站方向站台到站厅,2号无障碍电梯 市光路站方向站台到地面","3","","Accessible Lift 1:station hall to platform towards Aerospace Museum Station ,Accessible Lift 2:ground to platform towards Shiguang Road Station"			
0848,"8号线:付费区  往沈杜公路方向车头","1","1","Line 8:Pay Zone  Shendu Highway direction to the front of the platform"			
0848,"2号口:中原路,3号口:中原路,4号口:中原路","2","","Exit 2:Zhongyuan Rd,Exit 3:Zhongyuan Rd,Exit 4:Zhongyuan Rd"			
0848,"1号无障碍电梯 航天博物馆站方向站台到站厅,2号无障碍电梯 市光路站方向站台到地面","3","","Accessible Lift 1:station hall to platform towards Aerospace Museum Station ,Accessible Lift 2:ground to platform towards Shiguang Road Station"			
0849,"8号线:付费区  往沈杜公路方向车头","1","1","Line 8:Pay Zone  Shendu Highway direction to the front of the platform"			
0849,"1号口:中原路 开鲁路,2号口:中原路 市光路,3号口:市光路 中原路,4号口:中原路 开鲁路","2","","Exit 1:Zhongyuan Rd Kailu Rd,Exit 2:Zhongyuan Rd Shiguang Rd,Exit 3:Shiguang Rd Zhongyuan Rd,Exit 4:Zhongyuan Rd Kailu Rd"			
0849,"1号无障碍电梯 航天博物馆站方向站台到站厅","3","","Accessible Lift 1:station hall to platform towards Aerospace Museum Station"			
0918,"1号无障碍电梯: 位于站厅两个服务中心之间  站厅直达站台","3","","Accessible Lift 1: between the server centres, from hall to platform"			
0918,"9号线:非付费区  1号出入口旁","1","0","Line 9:Non-paying zone  Exit 1 entrance side"			
0918,"1号口:仙山路中桥路,2号口:仙山路,3号口:小茜泾路中桥路,4号口:小茜泾路 松江南站北广场","2","","Exit 1:Xianshan Rd Zhongqiao Rd, Exit 2:Xianshan Rd, Exit 3:Xiaoqianjing Rd Zhongqiao Rd, Exit 4:Xiaoqianjing Rd North Square of Songjiang South Railway Station"			
0919,"9号线:付费区  往杨高中路方向站台尾端","1","1","Line 9:Pay Zone  Middle Yanggao Rd direction to the rear of the platform"			
0919,"1号口:梅园路,2号口:人民南路 松江火车站北广场,3号口:人民南路 醉白池公园","2","","Exit 1:Meiyuan Rd, Exit 2:South Renmin Rd North Square of Songjiang Railway Station, Exit 3:South Renmin Rd Zuibaichi Park"			
0919,"1号无障碍电梯: 位于站厅中间服务中心旁  站厅直达站台","3","","Accessible Lift 1: between the server centres, from hall to platform"			
0920,"1号无障碍电梯: 位于站厅中间服务中心旁","3","","Accessible Lift 1: near the server centre, from hall to platform"			
0920,"1号口:荣乐路, 2号口:九峰路 松江体育中心, 3号口:荣乐路","2","","Exit 1:Rongle Rd, Exit 2:Jiufeng Rd Songjiang Sports Centre, Exit 3:Rongle Rd"			
0920,"9号线:非付费区  2号出入口旁","1","0","Line 9:Non-paying zone  Exit 2 entrance side"			
0921,"1号口:通跃路思贤路,2号口:通跃路思贤路,3号口:嘉松公路思贤路,4号口:嘉松公路思贤路","2","","Exit 1:Tongyue Rd Sixian Rd,Exit 2:Tongyue Rd Sixian Rd,Exit 3:Jiasong Highway Sixian Rd,Exit 4:Jiasong Highway Sixian Rd"			
0921,"1号无障碍电梯 站内客服中心旁边","3","","Accessible Lift 1:beside Customer Service Center"			
0921,"9号线:站外  2号口站外公厕","1","0","Line 9:Outside of a station  2 entrance outside"			
